date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:39:13	66145/66145	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/flight-detail.html	D:/duan123/envato.megadrupal.com/html/gofar/flight-detail.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:13	61120/61120	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/flight-dark.html	D:/duan123/envato.megadrupal.com/html/gofar/flight-dark.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:14	66168/66168	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/flight-detail-dark.html	D:/duan123/envato.megadrupal.com/html/gofar/flight-detail-dark.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:15	61408/61408	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/train.html	D:/duan123/envato.megadrupal.com/html/gofar/train.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:15	66186/66186	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/train-detail.html	D:/duan123/envato.megadrupal.com/html/gofar/train-detail.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:16	61431/61431	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/train-dark.html	D:/duan123/envato.megadrupal.com/html/gofar/train-dark.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:16	66209/66209	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/train-detail-dark.html	D:/duan123/envato.megadrupal.com/html/gofar/train-detail-dark.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:16	50984/50984	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/attraction.html	D:/duan123/envato.megadrupal.com/html/gofar/attraction.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:17	54383/54383	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/attraction-detail.html	D:/duan123/envato.megadrupal.com/html/gofar/attraction-detail.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:17	51007/51007	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/attraction-dark.html	D:/duan123/envato.megadrupal.com/html/gofar/attraction-dark.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:17	178/178	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Feb%202021%2001:39:16%20GMT	https://envato.megadrupal.com/html/gofar/attraction-detail-dark.html	D:/duan123/envato.megadrupal.com/html/gofar/attraction-detail-dark.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:17	34154/34154	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/blog.html	D:/duan123/envato.megadrupal.com/html/gofar/blog.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:18	46614/46614	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/single-post.html	D:/duan123/envato.megadrupal.com/html/gofar/single-post.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:18	34348/34348	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/blog-dark.html	D:/duan123/envato.megadrupal.com/html/gofar/blog-dark.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:18	46637/46637	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/single-post-dark.html	D:/duan123/envato.megadrupal.com/html/gofar/single-post-dark.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:19	20375/20375	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/login.html	D:/duan123/envato.megadrupal.com/html/gofar/login.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:19	20612/20612	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/register.html	D:/duan123/envato.megadrupal.com/html/gofar/register.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:19	45726/45726	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/checkout-yourcart.html	D:/duan123/envato.megadrupal.com/html/gofar/checkout-yourcart.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:19	31064/31064	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/checkout-customer.html	D:/duan123/envato.megadrupal.com/html/gofar/checkout-customer.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:20	27527/27527	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/checkout-complete.html	D:/duan123/envato.megadrupal.com/html/gofar/checkout-complete.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:20	45764/45764	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/checkout-yourcart-dark.html	D:/duan123/envato.megadrupal.com/html/gofar/checkout-yourcart-dark.html	(from https://envato.megadrupal.com/html/gofar/)
